DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,HOME_WIN,WINNING_TEAM,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
2013-02-19,Charlotte Hornets,105,Orlando Magic,92,False,Charlotte Hornets,0.28846153846153844,0.23076923076923078,0.2,0.2
2013-02-19,Toronto Raptors,96,Washington Wizards,88,False,Toronto Raptors,0.29411764705882354,0.39622641509433965,0.8,0.8
2013-02-19,Milwaukee Bucks,111,Brooklyn Nets,113,True,Brooklyn Nets,0.5849056603773585,0.5098039215686274,0.6,0.2
2013-02-19,Memphis Grizzlies,105,Detroit Pistons,91,False,Memphis Grizzlies,0.3888888888888889,0.6470588235294118,0.6,0.6
2013-02-19,Chicago Bulls,96,New Orleans Pelicans,87,False,Chicago Bulls,0.3584905660377358,0.5769230769230769,0.8,0.2
2013-02-19,Boston Celtics,90,Denver Nuggets,97,True,Denver Nuggets,0.6111111111111112,0.5384615384615384,0.4,0.8
2013-02-19,Golden State Warriors,101,Utah Jazz,115,True,Utah Jazz,0.5555555555555556,0.5769230769230769,0.6,0.0
2013-02-19,Phoenix Suns,102,Portland Trail Blazers,98,False,Phoenix Suns,0.4716981132075472,0.32075471698113206,0.0,0.2
2013-02-19,San Antonio Spurs,108,Sacramento Kings,102,False,San Antonio Spurs,0.35185185185185186,0.7777777777777778,0.4,0.8
2013-02-20,Detroit Pistons,105,Charlotte Hornets,99,False,Detroit Pistons,0.24528301886792453,0.38181818181818183,0.4,0.6
2013-02-20,New York Knicks,91,Indiana Pacers,125,True,Indiana Pacers,0.6037735849056604,0.64,0.6,0.4
2013-02-20,Memphis Grizzlies,88,Toronto Raptors,82,False,Memphis Grizzlies,0.4074074074074074,0.6538461538461539,1.0,0.8
2013-02-20,Miami Heat,103,Atlanta Hawks,90,False,Miami Heat,0.5686274509803921,0.72,0.6,1.0
2013-02-20,New Orleans Pelicans,100,Cleveland Cavaliers,105,True,Cleveland Cavaliers,0.3018867924528302,0.35185185185185186,0.4,0.6
2013-02-20,Oklahoma City Thunder,119,Houston Rockets,122,True,Houston Rockets,0.5272727272727272,0.7358490566037735,0.4,0.6
2013-02-20,Brooklyn Nets,97,Milwaukee Bucks,94,False,Brooklyn Nets,0.5,0.5925925925925926,0.2,0.6
2013-02-20,Philadelphia 76ers,87,Minnesota Timberwolves,94,True,Minnesota Timberwolves,0.38,0.43137254901960786,0.2,0.4
2013-02-20,Orlando Magic,96,Dallas Mavericks,111,True,Dallas Mavericks,0.4423076923076923,0.2830188679245283,0.6,0.2
2013-02-20,Phoenix Suns,98,Golden State Warriors,108,True,Golden State Warriors,0.5660377358490566,0.3333333333333333,0.0,0.2
2013-02-20,Boston Celtics,99,Los Angeles Lakers,113,True,Los Angeles Lakers,0.46296296296296297,0.5283018867924528,0.4,0.6
2013-02-21,Miami Heat,86,Chicago Bulls,67,False,Miami Heat,0.5849056603773585,0.7254901960784313,0.4,1.0
2013-02-21,San Antonio Spurs,116,Los Angeles Clippers,90,False,San Antonio Spurs,0.6964285714285714,0.7818181818181819,0.8,0.8
2013-02-22,Chicago Bulls,105,Charlotte Hornets,75,False,Chicago Bulls,0.24074074074074073,0.5740740740740741,0.4,0.4
2013-02-22,Detroit Pistons,82,Indiana Pacers,114,True,Indiana Pacers,0.6111111111111112,0.39285714285714285,0.6,0.6
2013-02-22,New York Knicks,98,Toronto Raptors,100,True,Toronto Raptors,0.4,0.6274509803921569,0.8,0.2
2013-02-22,Denver Nuggets,113,Washington Wizards,119,True,Washington Wizards,0.28846153846153844,0.6181818181818182,0.6,0.4
